Audio Emotion,MFCC,Pitch,Intensity
Angry,-27.778505,162.4558919,57.63378249
Angry,-28.999773,276.5561722,56.86330825
Angry,-28.72379,99.051406,46.20131716
Angry,-30.795341,208.0885511,59.13971541
Angry,-26.254784,264.544137,57.16770858
Disgust,-27.778505,116.2265566,39.47301366
Disgust,-28.999773,236.2262883,52.76850516
Disgust,-28.72379,172.7775185,53.42839714
Disgust,-30.795341,223.5356254,48.89136455
Disgust,-26.254784,147.662214,46.98147389
Fearful,-27.778505,229.1899738,45.43238803
Fearful,-28.999773,316.4327702,57.46090596
Fearful,-28.72379,133.4518391,50.5405228
Fearful,-30.795341,323.660112,56.08911548
Fearful,-26.254784,172.9665423,52.1805475
Happy,-27.778505,180.6508135,45.95674403
Happy,-28.999773,231.3235633,51.6650153
Happy,-28.72379,204.2862644,56.29003075
Happy,-30.795341,256.3720323,56.05652136
Happy,-26.254784,158.3793232,51.1926317
Neutral,-27.778505,256.0785288,42.90021026
Neutral,-28.999773,136.9125291,42.76619669
Neutral,-28.72379,251.4180024,46.75155383
Neutral,-30.795341,162.0153782,51.16077021
Neutral,-26.254784,242.0007695,50.27887305
Sad,-27.778505,95.64471944,35.61545721
Sad,-28.999773,225.5058282,47.10359968
Sad,-28.72379,135.37956,43.39471892
Sad,-30.795341,230.2893236,47.54731791
Sad,-26.254784,123.2373563,45.52878756
Surprised,-27.778505,207.594204,57.78538888
Surprised,-28.999773,304.7684985,55.0259176
Surprised,-28.72379,239.9084575,54.91802428
Surprised,-30.795341,363.6300135,55.7000894
Surprised,-26.254784,189.2634684,49.36997365
